Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_DIRECT,GO:0070125~mitochondrial translational elongation,28,3.846153846,1.66E-17,"P82909, Q7Z2W9, Q8IXM3, Q9H2W6, Q9P015, Q9NX20, Q9BZE1, Q14197, Q9HD33, Q9H9J2, Q9NYK5, P82912, Q9Y2R5, P49411, Q13405, Q8N5N7, Q9Y2R9, Q9Y3D9, Q9BYN8, Q8TAE8, Q9BYD3, Q9BYD2, Q96RP9, P82675, Q9BRJ2, Q7Z7F7, P49406, Q16540",681,85,16792,8.12258789,4.71E-14,4.71E-14,4.63E-14
GOTERM_BP_DIRECT,GO:0070126~mitochondrial translational termination,26,3.571428571,3.02E-15,"P82909, Q7Z2W9, Q8IXM3, Q9H2W6, Q9P015, Q9NX20, Q9BZE1, Q14197, Q9HD33, Q9H9J2, Q9NYK5, P82912, Q9Y2R5, Q13405, Q8N5N7, Q9Y2R9, Q9Y3D9, Q9BYN8, Q8TAE8, Q9BYD3, Q9BYD2, P82675, Q9BRJ2, Q7Z7F7, P49406, Q16540",681,86,16792,7.45470068,8.48E-12,4.27E-12,4.21E-12
GOTERM_BP_DIRECT,"GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",19,2.60989011,3.22E-11,"O43242, P06756, P55036, P30505, P62191, Q06323, P28072, P35998, O00487, P62333, P62195, P48556, P25788, P40306, P49721, P61289, P49720, P60900, Q13200",681,63,16792,7.436496282,9.11E-08,3.04E-08,2.99E-08
GOTERM_BP_DIRECT,GO:0006521~regulation of cellular amino acid metabolic process,17,2.335164835,8.39E-11,"O43242, P55036, P62191, Q06323, P28072, P35998, O00487, P62333, P62195, P48556, P25788, P40306, P49721, P61289, P49720, P60900, Q13200",681,51,16792,8.219285365,2.37E-07,5.94E-08,5.84E-08
GOTERM_BP_DIRECT,GO:0038061~NIK/NF-kappaB signaling,17,2.335164835,5.68E-09,"O43242, P55036, P62191, Q06323, P28072, P35998, O00487, P62333, P62195, P48556, P25788, P40306, P49721, P61289, P49720, P60900, Q13200",681,66,16792,6.351265964,1.61E-05,3.12E-06,3.07E-06
GOTERM_BP_DIRECT,GO:0002223~stimulatory C-type lectin receptor signaling pathway,21,2.884615385,6.62E-09,"O43242, P55036, P62191, Q6A1A2, Q06323, P28072, P35998, O00487, P62333, P62195, P06241, P48556, P25788, P40306, P49721, P61289, P49720, P60900, Q13200, Q13153, Q15750",681,105,16792,4.931571219,1.87E-05,3.12E-06,3.07E-06
GOTERM_BP_DIRECT,GO:0090090~negative regulation of canonical Wnt signaling pathway,26,3.571428571,9.49E-09,"Q9Y2G4, Q99471, Q06323, P35998, O00487, P23508, P62333, P62195, P25788, P40306, Q9BRK4, P61289, Q13200, Q13043, O43242, Q16539, P55036, Q5JTC6, Q13905, P19022, P62191, P28072, P48556, P49721, P49720, P60900",681,163,16792,3.93315496,2.68E-05,3.84E-06,3.78E-06
GOTERM_BP_DIRECT,GO:0031145~anaphase-promoting complex-dependent catabolic process,18,2.472527473,1.33E-08,"O43242, P55036, P62191, Q06323, P28072, P35998, O00487, P62333, P62195, P48556, P25788, P40306, P49721, P61289, P49720, P60900, Q13200, O14965",681,79,16792,5.618245692,3.75E-05,4.69E-06,4.62E-06
GOTERM_BP_DIRECT,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,17,2.335164835,1.76E-08,"O43242, P55036, P62191, Q06323, P28072, P35998, O00487, P62333, P62195, P48556, P25788, P40306, P49721, P61289, P49720, P60900, Q13200",681,71,16792,5.903993713,4.97E-05,5.53E-06,5.44E-06
GOTERM_BP_DIRECT,GO:0043488~regulation of mRNA stability,20,2.747252747,2.73E-08,"O43242, P55036, P62191, Q06323, P28072, P35998, O00487, P62333, P62195, P48556, Q9NPD3, P25788, P40306, P49721, P61289, P49720, Q9BX46, P04792, P60900, Q13200",681,103,16792,4.787933222,7.72E-05,7.07E-06,6.96E-06
GOTERM_BP_DIRECT,GO:0000209~protein polyubiquitination,27,3.708791209,2.75E-08,"P55786, Q13356, Q06323, P35998, O00487, P62333, P62195, Q9NX47, P25788, P40306, P61289, Q13200, Q13049, O43242, Q9UIQ6, P55036, P62191, P28072, Q63HN8, Q9NS56, P48556, Q92466, Q9NZJ0, P49721, P42771, P49720, P60900",681,184,16792,3.618272362,7.78E-05,7.07E-06,6.96E-06
GOTERM_BP_DIRECT,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,17,2.335164835,4.93E-08,"O43242, P55036, P62191, Q06323, P28072, P35998, O00487, P62333, P62195, P48556, P25788, P40306, P49721, P61289, P49720, P60900, Q13200",681,76,16792,5.515573074,1.39E-04,1.16E-05,1.14E-05
GOTERM_BP_DIRECT,GO:0090263~positive regulation of canonical Wnt signaling pathway,21,2.884615385,6.99E-08,"P02452, O43242, P55036, Q5JTC6, P62191, P14923, Q06323, Q13418, P28072, P35998, O00487, P62333, P62195, P48556, P25788, P40306, P49721, P61289, P49720, P60900, Q13200",681,120,16792,4.315124816,1.98E-04,1.52E-05,1.50E-05
GOTERM_BP_DIRECT,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,26,3.571428571,7.41E-07,"P29590, Q06323, P35998, O00487, Q9H0M0, P61086, P62333, P62195, P25788, P40306, P61289, Q9H0F6, Q13200, O43242, P09936, P55036, Q5JTC6, P62191, P35222, P28072, Q9NS56, P48556, Q9UNZ2, P49721, P49720, P60900",681,203,16792,3.158149056,0.00209522,1.48E-04,1.46E-04
